5463	169.06	104.84
3727	511.2	109.88
6557	174.99	243.6
5043	521.09	275.04
1439	173.34	379.58
1463	511.64	409.05
1495	501.68	561.39
2875	174.8	560.11
5549	171.56	667.25
3945	502.9	723.38
1935	171.07	777.91
3545	500.76	860.02
6827	162.81	850.19
3797	171.49	941.58
3513	504.03	996.21
1275	177.24	1066
3755	490.63	1133.5
5077	853.82	1278.4
3307	919.17	1293.7
2795	998	1311.8
1755	1181.1	1344.1
3443	1081.3	1333.9
2747	445.52	1225.1
3421	519.06	1243.4
6581	652.67	1272.3
4911	376.26	1219.7
2923	220.01	1190.2
1779	297.48	1207.4
4845	587.33	1265.8
2797	394.75	1313.1
3789	161.8	1274.8
2989	268.11	1304
5339	619.24	1379.4
2781	491.43	1434.8
3029	155.57	1395.1
1723	468.7	1552.6
1501	149.63	1512.4
1659	477.35	1685.1
1997	471.95	1814.3
3191	163.68	1638.7
3247	172.68	1886.6
3533	162.85	2010.5
4943	161.65	1765
4973	470.24	1958.7
1949	1412.2	1385.7
2997	1536.2	1414
3675	1656.2	1426.8
5941	1285.7	1370.1
1517	1821.6	1461.2
4783	1966.3	1487.3
1247	2067.3	1507.2
1455	2412	1569.6
